Date,,,Price,Open,High,Low,Volume,Chg%
Mar,"03,",2023,4.067,4.0745,4.1175,4.0605,0,-0.22%
Mar,"02,",2023,4.076,4.1685,4.174,4.047,0,-2.02%
Mar,"01,",2023,4.16,4.0745,4.1745,4.065,87.33K,1.72%
Feb,"28,",2023,4.0895,4.01,4.0945,3.9915,71.44K,1.96%
Feb,"27,",2023,4.011,3.96,4.024,3.937,83.88K,0.96%
Feb,"26,",2023,3.9728,3.9595,3.9773,3.9535,0,0.53%
Feb,"24,",2023,3.952,4.0555,4.0765,3.9465,0,-2.64%
Feb,"23,",2023,4.059,4.179,4.1885,4.039,73.18K,-3.14%
Feb,"22,",2023,4.1905,4.214,4.224,4.1485,70.16K,-0.83%
Feb,"21,",2023,4.2255,4.126,4.237,4.1015,126.19K,1.07%
Feb,"20,",2023,4.1807,4.1195,4.198,4.102,0,1.49%
Feb,"19,",2023,4.1195,4.1288,4.1305,4.1178,0,0.27%
Feb,"17,",2023,4.1085,4.1195,4.1335,4.059,68.60K,-0.65%
Feb,"16,",2023,4.1355,4.0245,4.1465,4.0185,108.49K,3.12%
Feb,"15,",2023,4.0105,4.0875,4.091,3.9785,103.17K,-1.58%
Feb,"14,",2023,4.075,4.059,4.111,4.0255,93.92K,0.43%
Feb,"13,",2023,4.0575,4.0185,4.0685,3.9935,74.43K,1.02%
Feb,"10,",2023,4.0165,4.0745,4.0825,4.005,86.48K,-1.96%
Feb,"09,",2023,4.097,4.0475,4.1205,4.0395,96.58K,1.52%
Feb,"08,",2023,4.0355,4.07,4.1165,4.016,85.50K,-1.10%
Feb,"07,",2023,4.0805,4.038,4.0865,4.0025,90.92K,1.13%
Feb,"06,",2023,4.035,4.0415,4.074,3.993,75.84K,-0.53%
Feb,"03,",2023,4.0565,4.091,4.136,4.0305,91.47K,-0.84%
Feb,"02,",2023,4.091,4.1815,4.1995,4.078,82.56K,-0.49%
Feb,"01,",2023,4.111,4.2235,4.225,4.1025,88.15K,-2.72%
Jan,"31,",2023,4.226,4.1845,4.2315,4.1185,86.17K,0.57%
Jan,"30,",2023,4.202,4.23,4.249,4.168,63.12K,-0.49%
Jan,"27,",2023,4.2225,4.282,4.287,4.172,63.41K,-1.05%
Jan,"26,",2023,4.2675,4.2645,4.29,4.2325,58.23K,0.54%
Jan,"25,",2023,4.2445,4.2645,4.2735,4.211,51.11K,-0.09%
Jan,"24,",2023,4.2485,4.259,4.2825,4.2155,51.17K,-0.19%
Jan,"23,",2023,4.2565,4.2795,4.3025,4.226,57.18K,0.12%
Jan,"20,",2023,4.2515,4.245,4.2795,4.2065,59.75K,0.47%
Jan,"19,",2023,4.2315,4.2265,4.2685,4.168,78.54K,-0.07%
Jan,"18,",2023,4.2345,4.2335,4.355,4.205,104.62K,0.27%
Jan,"17,",2023,4.223,4.2105,4.2445,4.1105,113.11K,1.92%
Jan,"16,",2023,4.1433,4.2062,4.2105,4.1382,0,-1.49%
Jan,"15,",2023,4.206,4.2198,4.2198,4.2058,0,-0.24%
Jan,"13,",2023,4.216,4.173,4.2225,4.1285,69.52K,0.46%
Jan,"12,",2023,4.1965,4.1755,4.2115,4.1295,96.27K,0.73%
Jan,"11,",2023,4.166,4.08,4.185,4.0655,88.48K,2.17%
Jan,"10,",2023,4.0775,4.012,4.0835,3.9875,72.22K,1.27%
Jan,"09,",2023,4.0265,3.9235,4.0445,3.9235,102.47K,2.95%
Jan,"06,",2023,3.911,3.8255,3.93,3.7985,96.75K,2.36%
Jan,"05,",2023,3.821,3.7405,3.842,3.7215,76.73K,2.15%
Jan,"04,",2023,3.7405,3.771,3.807,3.7085,80.27K,-0.69%
Jan,"03,",2023,3.7665,3.8355,3.8715,3.7585,83.90K,-1.92%
Jan,"02,",2023,3.8403,3.8192,3.848,3.8185,0,0.72%
Dec,"30,",2022,3.813,3.8135,3.815,3.8135,0.01K,-0.35%
Dec,"29,",2022,3.8265,3.836,3.836,3.825,0.04K,-0.42%
Dec,"28,",2022,3.8425,3.849,3.873,3.821,42.61K,0.05%
Dec,"27,",2022,3.8405,3.84,3.9415,3.832,48.12K,-0.44%
Dec,"26,",2022,3.8575,3.8125,3.8675,3.8125,0,1.27%
Dec,"23,",2022,3.809,3.7645,3.817,3.761,38.56K,1.38%
Dec,"22,",2022,3.757,3.818,3.849,3.7495,44.39K,-1.39%
Dec,"21,",2022,3.81,3.807,3.8285,3.789,39.35K,0.29%
Dec,"20,",2022,3.799,3.761,3.8305,3.723,55.30K,0.42%
Dec,"19,",2022,3.783,3.7695,3.8245,3.7495,38.27K,0.57%
Dec,"16,",2022,3.7615,3.776,3.805,3.733,46.14K,-0.04%
Dec,"15,",2022,3.763,3.8635,3.8675,3.757,60.79K,-2.97%
Dec,"14,",2022,3.878,3.8455,3.892,3.823,50.21K,0.94%
Dec,"13,",2022,3.842,3.808,3.929,3.8035,69.13K,1.09%
Dec,"12,",2022,3.8005,3.8595,3.8595,3.786,45.29K,-2.01%
Dec,"09,",2022,3.8785,3.8815,3.9245,3.846,51.88K,-0.13%
Dec,"08,",2022,3.8835,3.8435,3.9125,3.833,50.54K,0.60%
Dec,"07,",2022,3.8605,3.821,3.874,3.775,52.67K,1.11%
Dec,"06,",2022,3.818,3.7915,3.8635,3.7845,53.10K,0.61%
Dec,"05,",2022,3.795,3.853,3.8945,3.773,58.79K,-1.44%
Dec,"02,",2022,3.8505,3.7975,3.865,3.7445,59.97K,0.86%
Dec,"01,",2022,3.8175,3.782,3.8225,3.735,59.94K,2.13%
Nov,"30,",2022,3.738,3.644,3.7925,3.634,81.15K,2.71%
Nov,"29,",2022,3.6395,3.6015,3.6845,3.5955,55.24K,0.64%
Nov,"28,",2022,3.6165,3.591,3.6195,3.5575,0.46K,-0.45%
Nov,"25,",2022,3.633,3.6545,3.658,3.622,0.18K,-0.18%
Nov,"24,",2022,3.6395,3.6472,3.671,3.624,0,0.54%
Nov,"23,",2022,3.62,3.6225,3.6315,3.604,0.21K,0.10%
Nov,"22,",2022,3.6165,3.595,3.665,3.59,0.25K,1.13%
Nov,"21,",2022,3.576,3.65,3.655,3.556,32.41K,-1.80%
Nov,"18,",2022,3.6415,3.692,3.715,3.637,28.32K,-1.42%
Nov,"17,",2022,3.694,3.757,3.7765,3.673,24.88K,-2.11%
Nov,"16,",2022,3.7735,3.811,3.821,3.7495,27.93K,-1.20%
Nov,"15,",2022,3.8195,3.8325,3.882,3.7945,39.81K,-0.21%
Nov,"14,",2022,3.8275,3.9225,3.947,3.8055,38.11K,-1.88%
Nov,"11,",2022,3.901,3.765,3.932,3.7535,47.70K,4.04%
Nov,"10,",2022,3.7495,3.668,3.7795,3.6225,36.79K,1.58%
Nov,"09,",2022,3.691,3.6605,3.733,3.6215,42.77K,0.41%
Nov,"08,",2022,3.676,3.5975,3.691,3.5625,38.61K,2.10%
Nov,"07,",2022,3.6005,3.635,3.65,3.574,32.98K,-1.99%
Nov,"04,",2022,3.6735,3.4135,3.695,3.409,45.21K,7.52%
Nov,"03,",2022,3.4165,3.423,3.4505,3.3675,29.77K,-1.10%
Nov,"02,",2022,3.4545,3.448,3.5015,3.42,20.27K,-0.07%
Nov,"01,",2022,3.457,3.362,3.4835,3.361,14.76K,2.96%
Oct,"31,",2022,3.3575,3.409,3.428,3.348,15.27K,-1.64%
Oct,"28,",2022,3.4135,3.5125,3.5125,3.403,15.71K,-2.54%
Oct,"27,",2022,3.5025,3.518,3.5365,3.4735,15.23K,-0.62%
Oct,"26,",2022,3.5245,3.391,3.5325,3.371,21.53K,4.14%
Oct,"25,",2022,3.3845,3.416,3.425,3.351,12.76K,-0.95%
Oct,"24,",2022,3.417,3.47,3.4855,3.403,14.29K,-1.14%
Oct,"21,",2022,3.4565,3.386,3.463,3.3365,19.94K,1.62%
Oct,"20,",2022,3.4015,3.3185,3.426,3.298,15.87K,2.73%
Oct,"19,",2022,3.311,3.3495,3.3665,3.301,13.42K,-1.19%
Oct,"18,",2022,3.351,3.3985,3.4205,3.328,13.63K,-1.47%
Oct,"17,",2022,3.401,3.394,3.45,3.375,9.66K,-0.10%
Oct,"14,",2022,3.4045,3.443,3.48,3.384,10.90K,-0.54%
Oct,"13,",2022,3.423,3.4095,3.4595,3.3375,9.77K,0.44%
Oct,"12,",2022,3.408,3.4075,3.4475,3.383,8.70K,-1.09%
Oct,"11,",2022,3.4455,3.415,3.456,3.3685,8.11K,1.00%
Oct,"10,",2022,3.4115,3.3615,3.455,3.356,8.92K,1.28%
Oct,"07,",2022,3.3685,3.4205,3.4325,3.356,10.20K,-1.76%
Oct,"06,",2022,3.429,3.485,3.568,3.414,10.42K,-1.55%
Oct,"05,",2022,3.483,3.478,3.5315,3.4285,8.66K,0.36%
Oct,"04,",2022,3.4705,3.4015,3.511,3.3865,10.44K,2.33%
Oct,"03,",2022,3.3915,3.3765,3.404,3.3355,8.13K,-0.07%
Sep,"30,",2022,3.394,3.4135,3.455,3.372,9.96K,-0.26%
Sep,"29,",2022,3.403,3.369,3.419,3.297,8.69K,1.67%
Sep,"28,",2022,3.347,3.2845,3.378,3.237,8.42K,2.18%
Sep,"27,",2022,3.2755,3.2865,3.3425,3.261,6.29K,-0.30%
Sep,"26,",2022,3.2855,3.3435,3.3565,3.269,8.61K,-1.54%
Sep,"23,",2022,3.337,3.4555,3.462,3.3225,11.23K,-3.60%
Sep,"22,",2022,3.4615,3.431,3.51,3.4135,5.36K,0.09%
Sep,"21,",2022,3.4585,3.49,3.506,3.396,7.53K,-1.06%
Sep,"20,",2022,3.4955,3.522,3.538,3.476,6.50K,-0.26%
Sep,"19,",2022,3.5045,3.538,3.5435,3.4665,5.87K,-0.01%
Sep,"16,",2022,3.505,3.453,3.5295,3.4195,6.99K,0.72%
Sep,"15,",2022,3.48,3.509,3.5445,3.4575,6.62K,-0.95%
Sep,"14,",2022,3.5135,3.524,3.5495,3.4965,7.53K,-0.97%
Sep,"13,",2022,3.548,3.6075,3.681,3.5155,10.16K,-1.53%
Sep,"12,",2022,3.603,3.5565,3.615,3.526,6.33K,1.17%
Sep,"09,",2022,3.5615,3.5485,3.618,3.53,5.04K,1.12%
Sep,"08,",2022,3.522,3.444,3.55,3.439,7.24K,2.79%
Sep,"07,",2022,3.4265,3.453,3.461,3.402,4.31K,-0.94%
Sep,"06,",2022,3.459,3.3955,3.4945,3.3615,7.30K,0.16%
Sep,"05,",2022,3.4535,3.3887,3.466,3.3857,0,1.91%
Sep,"04,",2022,3.3887,3.395,3.4,3.3613,0,-0.60%
Sep,"02,",2022,3.409,3.4075,3.4515,3.3805,4.85K,0.12%
Sep,"01,",2022,3.405,3.5155,3.5155,3.402,6.88K,-3.18%
Aug,"31,",2022,3.517,3.559,3.601,3.45,7.33K,-1.10%
Aug,"30,",2022,3.556,3.61,3.6365,3.5415,6.69K,-1.60%
Aug,"29,",2022,3.614,3.7015,3.7015,3.5665,3.44K,-2.28%
Aug,"26,",2022,3.6985,3.6935,3.779,3.685,3.54K,0.05%
Aug,"25,",2022,3.6965,3.6455,3.709,3.64,4.34K,1.25%
Aug,"24,",2022,3.651,3.678,3.6945,3.6285,5.26K,-1.11%
Aug,"23,",2022,3.692,3.6615,3.721,3.64,6.44K,0.97%
Aug,"22,",2022,3.6565,3.672,3.7,3.6115,5.28K,-0.54%
Aug,"19,",2022,3.6765,3.6535,3.6825,3.6185,3.75K,0.99%
Aug,"18,",2022,3.6405,3.5815,3.672,3.56,7.07K,1.22%
Aug,"17,",2022,3.5965,3.6355,3.6615,3.5875,2.95K,-1.13%
Aug,"16,",2022,3.6375,3.6195,3.654,3.607,3.43K,0.10%
Aug,"15,",2022,3.634,3.679,3.6875,3.5715,3.71K,-1.40%
Aug,"12,",2022,3.6855,3.7,3.727,3.66,2.90K,-0.97%
Aug,"11,",2022,3.7215,3.6545,3.723,3.6545,4.29K,1.50%
Aug,"10,",2022,3.6665,3.6095,3.672,3.5735,4.48K,1.66%
Aug,"09,",2022,3.6065,3.611,3.644,3.5935,4.03K,0.00%
Aug,"08,",2022,3.6065,3.56,3.64,3.559,4.91K,0.88%
Aug,"05,",2022,3.575,3.527,3.6025,3.51,4.92K,2.06%
Aug,"04,",2022,3.503,3.492,3.5275,3.444,3.53K,0.53%
Aug,"03,",2022,3.4845,3.489,3.539,3.467,3.22K,-1.39%
Aug,"02,",2022,3.5335,3.5475,3.555,3.473,3.49K,-0.72%
Aug,"01,",2022,3.559,3.567,3.5925,3.5305,3.38K,-0.79%
Jul,"29,",2022,3.5875,3.5235,3.607,3.4895,3.05K,2.59%
Jul,"28,",2022,3.497,3.4935,3.5395,3.4735,3.16K,1.39%
Jul,"27,",2022,3.449,3.404,3.493,3.39,2.84K,1.25%
Jul,"26,",2022,3.4065,3.388,3.4775,3.388,2.02K,0.93%
Jul,"25,",2022,3.375,3.348,3.4035,3.334,3.38K,0.43%
Jul,"22,",2022,3.3605,3.318,3.4005,3.318,1.98K,1.51%
Jul,"21,",2022,3.3105,3.327,3.327,3.2685,2.08K,-0.87%
Jul,"20,",2022,3.3395,3.351,3.38,3.316,1.40K,1.06%
Jul,"19,",2022,3.3045,3.318,3.318,3.266,1.29K,-1.58%
Jul,"18,",2022,3.3575,3.259,3.3815,3.2265,2.29K,3.55%
Jul,"15,",2022,3.2425,3.2375,3.2705,3.1425,2.44K,0.92%
Jul,"14,",2022,3.213,3.317,3.32,3.1885,2.88K,-3.40%
Jul,"13,",2022,3.326,3.25,3.342,3.2275,2.47K,1.06%
Jul,"12,",2022,3.291,3.4185,3.4495,3.258,2.47K,-4.08%
Jul,"11,",2022,3.431,3.456,3.4925,3.399,1.49K,-2.74%
Jul,"08,",2022,3.5275,3.54,3.5645,3.454,1.39K,-1.38%
Jul,"07,",2022,3.577,3.41,3.5795,3.404,2.67K,4.82%
Jul,"06,",2022,3.4125,3.453,3.465,3.3085,3.75K,-0.52%
Jul,"05,",2022,3.4305,3.598,3.6295,3.42,2.11K,-4.28%
Jul,"04,",2022,3.584,3.6117,3.6172,3.5457,0,-0.76%
Jul,"03,",2022,3.6115,3.612,3.6235,3.608,0,-0.23%
Jul,"01,",2022,3.62,3.7045,3.706,3.58,1.94K,-2.94%
Jun,"30,",2022,3.7295,3.785,3.785,3.695,1.41K,-1.82%
Jun,"29,",2022,3.7985,3.752,3.8325,3.73,0.67K,0.05%
Jun,"28,",2022,3.7965,3.8495,3.864,3.769,0.73K,0.37%
Jun,"27,",2022,3.7825,3.8015,3.822,3.7675,0.83K,0.45%
Jun,"24,",2022,3.7655,3.7815,3.8075,3.6855,1.69K,-0.13%
Jun,"23,",2022,3.7705,3.904,3.926,3.762,0.87K,-4.95%
Jun,"22,",2022,3.967,3.9925,3.9925,3.91,1.72K,-2.31%
