Date,Price,Open,High,Low,Volume,Chg%
"Mar 03, 2023",126.64,126.64,126.64,126.64,0,-0.30%
"Mar 02, 2023",127.02,127.02,127.02,127.02,0.05K,0.17%
"Mar 01, 2023",126.8,126.8,126.8,126.8,0,0.83%
"Feb 28, 2023",125.75,125.75,125.75,125.75,0,0.01%
"Feb 27, 2023",125.74,125.74,125.74,125.74,0,-0.09%
"Feb 24, 2023",125.85,125.85,125.85,125.85,0,-0.06%
"Feb 23, 2023",125.92,125.92,125.92,125.92,0,0.12%
"Feb 22, 2023",125.77,125.77,125.77,125.77,0,-0.45%
"Feb 21, 2023",126.34,126.34,126.34,126.34,0,1.12%
"Feb 17, 2023",124.94,124.94,124.94,124.94,0,0.20%
"Feb 16, 2023",124.69,124.69,124.69,124.69,0,0.28%
"Feb 15, 2023",124.34,124.34,124.34,124.34,0,0.11%
"Feb 14, 2023",124.2,124.2,124.2,124.2,0,0.36%
"Feb 13, 2023",123.76,123.76,123.76,123.76,0,-1.10%
"Feb 10, 2023",125.14,125.14,125.14,125.14,0,0.39%
"Feb 09, 2023",124.65,124.65,124.65,124.65,0,1.17%
"Feb 08, 2023",123.21,123.21,123.21,123.21,0,0.37%
"Feb 07, 2023",122.75,122.75,122.75,122.75,0,-1.28%
"Feb 06, 2023",124.34,124.34,124.34,124.34,0.10K,-0.73%
"Feb 03, 2023",125.26,125.26,125.26,125.26,0,1.06%
"Feb 02, 2023",123.95,123.95,123.95,123.95,0,-1.88%
"Feb 01, 2023",126.33,126.33,126.33,126.33,0,2.40%
"Jan 31, 2023",123.37,123.37,123.37,123.37,0,0.24%
"Jan 30, 2023",123.08,123.08,123.08,123.08,0,0.31%
"Jan 27, 2023",122.7,122.7,122.7,122.7,0,0.17%
"Jan 26, 2023",122.49,122.49,122.49,122.49,0,0.46%
"Jan 25, 2023",121.93,121.93,121.93,121.93,0,-0.03%
"Jan 24, 2023",121.97,121.97,121.97,121.97,0,0.02%
"Jan 23, 2023",121.94,121.94,121.94,121.94,0,-0.18%
"Jan 20, 2023",122.16,122.16,122.16,122.16,0,0.30%
"Jan 19, 2023",121.79,121.79,121.79,121.79,0,0.50%
"Jan 18, 2023",121.19,121.19,121.19,121.19,0,0.20%
"Jan 17, 2023",120.95,120.95,120.95,120.95,0,-1.13%
"Jan 13, 2023",122.33,122.33,122.33,122.33,0,0.88%
"Jan 12, 2023",121.26,121.26,121.26,121.26,0,0.20%
"Jan 11, 2023",121.02,121.02,121.02,121.02,0,1.14%
"Jan 10, 2023",119.66,119.66,119.66,119.66,0,1.92%
"Jan 09, 2023",117.41,117.41,117.41,117.41,0,0.72%
"Jan 06, 2023",116.57,116.57,116.57,116.57,0,1.39%
"Jan 05, 2023",114.97,114.97,114.97,114.97,0,-0.33%
"Jan 04, 2023",115.35,115.35,115.35,115.35,0,-2.07%
"Jan 03, 2023",117.79,117.79,117.79,117.79,0,5.85%
"Dec 30, 2022",111.28,111.28,111.28,111.28,0,0.27%
"Dec 29, 2022",110.98,110.98,110.98,110.98,0,0.16%
"Dec 28, 2022",110.8,110.8,110.8,110.8,0,0.14%
"Dec 27, 2022",110.64,110.64,110.64,110.64,0,0.14%
"Dec 23, 2022",110.48,110.48,110.48,110.48,0,0.05%
"Dec 22, 2022",110.43,110.43,110.43,110.43,0,-0.28%
"Dec 21, 2022",110.74,110.74,110.74,110.74,0,0.80%
"Dec 20, 2022",109.86,109.86,109.86,109.86,0,0.27%
"Dec 19, 2022",109.56,109.56,109.56,109.56,0,-0.64%
"Dec 16, 2022",110.27,110.27,110.27,110.27,0,-0.21%
"Dec 15, 2022",110.5,110.5,110.5,110.5,0,1.13%
"Dec 14, 2022",109.26,109.26,109.26,109.26,0,0.03%
"Dec 13, 2022",109.23,109.23,109.23,109.23,0,-0.22%
"Dec 12, 2022",109.47,109.47,109.47,109.47,0,-0.91%
"Dec 09, 2022",110.48,110.48,110.48,110.48,0,0.90%
"Dec 08, 2022",109.49,109.49,109.49,109.49,0,2.24%
"Dec 07, 2022",107.09,107.09,107.09,107.09,0.03K,-1.29%
"Dec 06, 2022",108.49,108.49,108.49,108.49,0,0.75%
"Dec 05, 2022",107.68,107.68,107.68,107.68,0,0.22%
"Dec 02, 2022",107.44,107.44,107.44,107.44,0,4.21%
"Dec 01, 2022",103.1,103.1,103.1,103.1,0,10.56%
"Nov 30, 2022",93.25,93.25,93.25,93.25,0,0.38%
"Nov 29, 2022",92.9,92.9,92.9,92.9,0,-0.15%
"Nov 28, 2022",93.04,93.04,93.04,93.04,0,0.32%
"Nov 25, 2022",92.74,92.74,92.74,92.74,0,0.87%
"Nov 23, 2022",91.94,91.94,91.94,91.94,0,0.54%
"Nov 22, 2022",91.45,91.45,91.45,91.45,0,-0.10%
"Nov 21, 2022",91.54,91.54,91.54,91.54,0,-1.45%
"Nov 18, 2022",92.89,92.89,92.89,92.89,0,-0.21%
"Nov 17, 2022",93.09,93.09,93.09,93.09,0,0.81%
"Nov 16, 2022",92.34,92.34,92.34,92.34,0,0.05%
"Nov 15, 2022",92.29,92.29,92.29,92.29,0,0.22%
"Nov 14, 2022",92.09,92.09,92.09,92.09,0,1.43%
"Nov 11, 2022",90.79,90.79,90.79,90.79,0,2.95%
"Nov 10, 2022",88.19,88.19,88.19,88.19,0,0.78%
"Nov 09, 2022",87.51,87.51,87.51,87.51,0,2.55%
"Nov 08, 2022",85.33,85.33,85.33,85.33,0,-2.08%
"Nov 07, 2022",87.14,87.14,87.14,87.14,0,2.33%
"Nov 04, 2022",85.16,85.16,85.16,85.16,0,2.15%
"Nov 03, 2022",83.37,83.37,83.37,83.37,0,1.55%
"Nov 02, 2022",82.1,82.1,82.1,82.1,0,2.59%
"Nov 01, 2022",80.03,80.03,80.03,80.03,0,-13.42%
"Oct 31, 2022",92.43,92.43,92.43,92.43,0,-0.62%
"Oct 28, 2022",93.01,93.01,93.01,93.01,0,0.22%
"Oct 27, 2022",92.81,92.81,92.81,92.81,0,-0.80%
"Oct 26, 2022",93.56,93.56,93.56,93.56,0,-1.11%
"Oct 25, 2022",94.61,94.61,94.61,94.61,0,0.11%
"Oct 24, 2022",94.51,94.51,94.51,94.51,0,-0.37%
"Oct 21, 2022",94.86,94.86,94.86,94.86,0,0.11%
"Oct 20, 2022",94.76,94.76,94.76,94.76,0,-0.11%
"Oct 19, 2022",94.86,94.86,94.86,94.86,0,-0.37%
"Oct 18, 2022",95.21,95.21,95.21,95.21,0,0.29%
"Oct 17, 2022",94.93,94.93,94.93,94.93,0,-1.04%
"Oct 14, 2022",95.93,95.93,95.93,95.93,0,0.56%
"Oct 13, 2022",95.4,95.4,95.4,95.4,0,-0.76%
"Oct 12, 2022",96.13,96.13,96.13,96.13,0,-0.87%
"Oct 11, 2022",96.97,96.97,96.97,96.97,0,-0.39%
"Oct 10, 2022",97.35,97.35,97.35,97.35,0,1.81%
"Oct 07, 2022",95.62,95.62,95.62,95.62,0,0.17%
"Oct 06, 2022",95.46,95.46,95.46,95.46,0,0.21%
"Oct 05, 2022",95.26,95.26,95.26,95.26,0,0.05%
"Oct 04, 2022",95.21,95.21,95.21,95.21,0,1.05%
"Oct 03, 2022",94.22,94.22,94.22,94.22,0,-4.16%
"Sep 30, 2022",98.31,98.31,98.31,98.31,0,-0.11%
"Sep 29, 2022",98.42,98.42,98.42,98.42,0,-0.10%
"Sep 28, 2022",98.52,98.52,98.52,98.52,0,-0.19%
"Sep 27, 2022",98.71,98.71,98.71,98.71,0,-0.30%
"Sep 26, 2022",99.01,99.01,99.01,99.01,0,0.12%
"Sep 23, 2022",98.89,98.89,98.89,98.89,0,0.06%
"Sep 22, 2022",98.83,98.83,98.83,98.83,0,0.18%
"Sep 21, 2022",98.65,98.65,98.65,98.65,0,-0.15%
"Sep 20, 2022",98.8,98.8,98.8,98.8,0,-0.19%
"Sep 19, 2022",98.99,98.99,98.99,98.99,0,-0.27%
"Sep 16, 2022",99.26,99.26,99.26,99.26,0,-1.13%
"Sep 15, 2022",100.39,100.39,100.39,100.39,0,-0.04%
"Sep 14, 2022",100.43,100.43,100.43,100.43,0,-0.99%
"Sep 13, 2022",101.43,101.43,101.43,101.43,0,0.02%
"Sep 12, 2022",101.41,101.41,101.41,101.41,0,1.20%
"Sep 09, 2022",100.21,100.21,100.21,100.21,0,1.87%
"Sep 08, 2022",98.37,98.37,98.37,98.37,0,1.21%
"Sep 07, 2022",97.19,97.19,97.19,97.19,0,-0.26%
"Sep 06, 2022",97.44,97.44,97.44,97.44,0,1.98%
"Sep 02, 2022",95.55,95.55,95.55,95.55,0,-0.77%
"Sep 01, 2022",96.29,96.29,96.29,96.29,0,-8.09%
"Aug 31, 2022",104.76,104.76,104.76,104.76,0,-0.15%
"Aug 30, 2022",104.92,104.92,104.92,104.92,0,-0.34%
"Aug 29, 2022",105.28,105.28,105.28,105.28,0,-0.20%
"Aug 26, 2022",105.49,105.49,105.49,105.49,0,0.13%
"Aug 25, 2022",105.35,105.35,105.35,105.35,0,-0.19%
"Aug 24, 2022",105.55,105.55,105.55,105.55,0,-0.02%
"Aug 23, 2022",105.57,105.57,105.57,105.57,0,0.05%
"Aug 22, 2022",105.52,105.52,105.52,105.52,0,-0.11%
"Aug 19, 2022",105.64,105.64,105.64,105.64,0,-0.39%
"Aug 18, 2022",106.05,106.05,106.05,106.05,0,0.51%
"Aug 17, 2022",105.51,105.51,105.51,105.51,0,-1.73%
"Aug 16, 2022",107.37,107.37,107.37,107.37,0,-0.21%
"Aug 15, 2022",107.6,107.6,107.6,107.6,0,-1.92%
"Aug 12, 2022",109.71,109.71,109.71,109.71,0,-0.63%
"Aug 11, 2022",110.41,110.41,110.41,110.41,0,0.71%
"Aug 10, 2022",109.63,109.63,109.63,109.63,0,-0.20%
"Aug 09, 2022",109.85,109.85,109.85,109.85,0,-0.48%
"Aug 08, 2022",110.38,110.38,110.38,110.38,0,1.08%
"Aug 05, 2022",109.2,109.2,109.2,109.2,0,2.03%
"Aug 04, 2022",107.03,107.03,107.03,107.03,0,-2.80%
"Aug 03, 2022",110.11,110.11,110.11,110.11,0,-2.87%
"Aug 02, 2022",113.36,113.36,113.36,113.36,0,-0.87%
"Aug 01, 2022",114.35,114.35,114.35,114.35,0,6.65%
"Jul 29, 2022",107.22,107.22,107.22,107.22,0,0.31%
"Jul 28, 2022",106.89,106.89,106.89,106.89,0,0.61%
"Jul 27, 2022",106.24,106.24,106.24,106.24,0,0.22%
"Jul 26, 2022",106.01,106.01,106.01,106.01,0,0.56%
"Jul 25, 2022",105.42,105.42,105.42,105.42,0,0.03%
"Jul 22, 2022",105.39,105.39,105.39,105.39,0,0.11%
"Jul 21, 2022",105.27,105.27,105.27,105.27,0,0.73%
"Jul 20, 2022",104.51,104.51,104.51,104.51,0,-0.24%
"Jul 19, 2022",104.76,104.76,104.76,104.76,0,-1.81%
"Jul 18, 2022",106.69,106.69,106.69,106.69,0,2.29%
"Jul 15, 2022",104.3,104.3,104.3,104.3,0,-1.61%
"Jul 14, 2022",106.01,106.01,106.01,106.01,0,-4.54%
"Jul 13, 2022",111.05,111.05,111.05,111.05,0,1.25%
"Jul 12, 2022",109.68,109.68,109.68,109.68,0,-0.26%
"Jul 11, 2022",109.97,109.97,109.97,109.97,0,-3.31%
"Jul 08, 2022",113.74,113.74,113.74,113.74,0,-1.22%
"Jul 07, 2022",115.14,115.14,115.14,115.14,0,2.46%
"Jul 06, 2022",112.38,112.38,112.38,112.38,0,-1.08%
"Jul 05, 2022",113.61,113.61,113.61,113.61,0,-0.73%
"Jul 01, 2022",114.45,114.45,114.45,114.45,0,-11.96%
"Jun 30, 2022",130,130,130,130,0,-0.35%
"Jun 29, 2022",130.46,130.46,130.46,130.46,0,-0.42%
"Jun 28, 2022",131.01,131.01,131.01,131.01,0,0.06%
"Jun 27, 2022",130.93,130.93,130.93,130.93,0,0.94%
"Jun 24, 2022",129.71,129.71,129.71,129.71,0,-1.32%
"Jun 23, 2022",131.45,131.45,131.45,131.45,0,2.76%
"Jun 22, 2022",127.92,127.92,127.92,127.92,0,-4.16%
"Jun 21, 2022",133.47,133.47,133.47,133.47,0,-1.64%
"Jun 17, 2022",135.69,135.69,135.69,135.69,0.15K,-1.57%
"Jun 16, 2022",137.85,137.85,137.85,137.85,0,0.50%
"Jun 15, 2022",137.17,137.17,137.17,137.17,0,-2.08%
"Jun 14, 2022",140.09,140.09,140.09,140.09,0,-0.18%
"Jun 13, 2022",140.34,140.34,140.34,140.34,0,-0.83%
"Jun 10, 2022",141.51,141.51,141.51,141.51,0,-1.48%
"Jun 09, 2022",143.63,143.63,143.63,143.63,0,-1.18%
"Jun 08, 2022",145.34,145.34,145.34,145.34,0,-0.37%
"Jun 07, 2022",145.88,145.88,145.88,145.88,0,0.74%
"Jun 06, 2022",144.81,144.81,144.81,144.81,0,0.55%
"Jun 03, 2022",144.02,144.02,144.02,144.02,0,1.17%
"Jun 02, 2022",142.35,142.35,142.35,142.35,0,3.94%
"Jun 01, 2022",136.95,136.95,136.95,136.95,0,2.58%
"May 31, 2022",133.51,133.51,133.51,133.51,0,0.26%
"May 27, 2022",133.17,133.17,133.17,133.17,0,0.14%
"May 26, 2022",132.98,132.98,132.98,132.98,0,-0.22%
"May 25, 2022",133.27,133.27,133.27,133.27,0,-0.03%
"May 24, 2022",133.31,133.31,133.31,133.31,0,-0.51%
"May 23, 2022",133.99,133.99,133.99,133.99,0,0.25%
"May 20, 2022",133.66,133.66,133.66,133.66,0,1.32%
"May 19, 2022",131.92,131.92,131.92,131.92,0,0.85%
"May 18, 2022",130.81,130.81,130.81,130.81,0,-1.36%
"May 17, 2022",132.61,132.61,132.61,132.61,0,-0.26%
"May 16, 2022",132.96,132.96,132.96,132.96,0,0.48%
"May 13, 2022",132.33,132.33,132.33,132.33,0,0.27%
"May 12, 2022",131.98,131.98,131.98,131.98,0,-1.70%
"May 11, 2022",134.26,134.26,134.26,134.26,0,1.79%
"May 10, 2022",131.9,131.9,131.9,131.9,0,-1.06%
"May 09, 2022",133.31,133.31,133.31,133.31,0,-2.63%
"May 06, 2022",136.91,136.91,136.91,136.91,0,-5.51%
"May 05, 2022",144.9,144.9,144.9,144.9,0,1.40%
"May 04, 2022",142.9,142.9,142.9,142.9,0,-0.82%
"May 03, 2022",144.08,144.08,144.08,144.08,0,0.00%
"May 02, 2022",144.08,144.08,144.08,144.08,0,-4.44%
