Date,Price,Open,High,Low,Volume,Chg%
"Mar 03, 2023",183.25,183.65,183.9,181.85,1.14K,-0.19%
"Mar 02, 2023",183.6,184.15,185.05,182.65,1.39K,-0.46%
"Mar 01, 2023",184.45,183.15,185.5,183.15,1.04K,1.18%
"Feb 28, 2023",182.3,182.9,182.95,181.55,0.01K,-0.44%
"Feb 27, 2023",183.1,180.2,183.55,180.2,0.04K,1.30%
"Feb 24, 2023",180.75,180,180.85,179.6,0.07K,0.14%
"Feb 23, 2023",180.5,180.5,180.75,179.75,0.05K,-0.39%
"Feb 22, 2023",181.2,182.55,182.55,178.85,0.30K,-0.85%
"Feb 21, 2023",182.75,183.8,184.5,182.35,0.55K,-0.60%
"Feb 20, 2023",183.85,181.05,184.25,181.05,0.82K,0.82%
"Feb 17, 2023",182.35,183.15,183.25,182.15,0.67K,-0.65%
"Feb 16, 2023",183.55,184.45,184.45,183.2,0.66K,-0.24%
"Feb 15, 2023",184,184.9,185,183.75,0.98K,-0.54%
"Feb 14, 2023",185,185,185.4,184.7,0.82K,0.05%
"Feb 13, 2023",184.9,184.75,185.2,183.9,1.29K,0.24%
"Feb 10, 2023",184.45,185.45,185.6,183.85,0.72K,-0.51%
"Feb 09, 2023",185.4,185.1,186.7,185,1.05K,0.16%
"Feb 08, 2023",185.1,184.55,185.4,184,1.21K,0.19%
"Feb 07, 2023",184.75,185.1,185.5,183.75,0.96K,-0.03%
"Feb 06, 2023",184.8,184,185.75,183.4,1.73K,0.46%
"Feb 03, 2023",183.95,185.7,186,183.1,1.10K,-0.97%
"Feb 02, 2023",185.75,186.3,187.15,185,1.17K,-0.19%
"Feb 01, 2023",186.1,187,188,185.3,0.91K,-0.35%
"Jan 31, 2023",186.75,185.85,186.75,185.85,0.83K,0.62%
"Jan 30, 2023",185.6,185.8,185.8,185.35,0.00K,-0.43%
"Jan 27, 2023",186.4,187.4,189.75,185.7,0.02K,0.16%
"Jan 25, 2023",186.1,183.5,187.4,183.25,0.05K,1.36%
"Jan 24, 2023",183.6,181.6,184.2,181.6,0.21K,0.63%
"Jan 23, 2023",182.45,189.5,189.75,181.6,0.97K,-3.49%
"Jan 20, 2023",189.05,188.6,189.25,188.35,0.62K,0.21%
"Jan 19, 2023",188.65,189.3,189.45,188.25,0.86K,-0.53%
"Jan 18, 2023",189.65,191.95,193,189.5,1.27K,-1.22%
"Jan 17, 2023",192,192.2,192.55,191.45,0.56K,-0.03%
"Jan 16, 2023",192.05,190.35,192.8,190.35,0.91K,0.89%
"Jan 13, 2023",190.35,188.9,190.5,188.8,1.00K,0.77%
"Jan 12, 2023",188.9,188.95,189.35,188.55,0.60K,-0.13%
"Jan 11, 2023",189.15,188.55,189.3,188.1,0.61K,0.29%
"Jan 10, 2023",188.6,188.45,189.15,188.2,0.89K,-0.05%
"Jan 09, 2023",188.7,188.5,190.6,188.4,1.90K,0.19%
"Jan 06, 2023",188.35,190.15,190.15,187.8,0.92K,-0.50%
"Jan 05, 2023",189.3,188.25,190.3,187.6,1.35K,0.53%
"Jan 04, 2023",188.3,189.6,189.95,188.2,1.08K,-0.74%
"Jan 03, 2023",189.7,188.1,190,188,1.49K,0.34%
"Jan 02, 2023",189.05,188.7,189.2,188.4,0.28K,0.35%
"Dec 30, 2022",188.4,188.4,188.4,188.4,0.00K,0.72%
"Dec 29, 2022",187.05,187.05,187.05,187.05,0.00K,-0.93%
"Dec 28, 2022",188.8,188.6,190.1,187.1,0.01K,0.00%
"Dec 27, 2022",188.8,187.25,189.1,187.25,0.03K,1.34%
"Dec 26, 2022",186.3,187.75,188.15,184.4,0.12K,-0.29%
"Dec 23, 2022",186.85,187.85,188.3,184.3,0.63K,-0.43%
"Dec 22, 2022",187.65,189.4,190.25,187,0.90K,-0.90%
"Dec 21, 2022",189.35,185.95,189.7,185.95,0.95K,1.64%
"Dec 20, 2022",186.3,185.5,186.45,185.5,0.42K,0.35%
"Dec 19, 2022",185.65,185,186.1,185,0.50K,0.35%
"Dec 16, 2022",185,185.25,185.5,184.65,0.61K,-0.13%
