Date,Price,Open,High,Low,Volume,Chg%
"Mar 03, 2023",21.238,20.99,21.385,20.91,0,2.27%
"Mar 02, 2023",20.766,20.915,20.915,20.735,0,-0.92%
"Mar 01, 2023",20.959,20.88,21.15,20.88,0.58K,-0.01%
"Feb 28, 2023",20.961,20.64,21.01,20.475,0.51K,1.41%
"Feb 27, 2023",20.67,20.75,20.82,20.515,7.50K,-0.98%
"Feb 26, 2023",20.875,20.855,20.942,20.85,0,0.31%
"Feb 24, 2023",20.81,21.33,21.395,20.725,51.63K,-2.33%
"Feb 23, 2023",21.306,21.52,21.67,21.26,52.99K,-1.71%
"Feb 22, 2023",21.677,21.87,22,21.435,50.98K,-0.97%
"Feb 21, 2023",21.89,21.7,21.995,21.555,86.91K,0.38%
"Feb 20, 2023",21.808,21.595,21.902,21.558,0,0.97%
"Feb 19, 2023",21.598,21.753,21.753,21.585,0,-0.54%
"Feb 17, 2023",21.715,21.585,21.8,21.155,67.93K,0.02%
"Feb 16, 2023",21.71,21.64,21.79,21.4,56.29K,0.64%
"Feb 15, 2023",21.572,21.865,21.875,21.385,55.51K,-1.38%
"Feb 14, 2023",21.873,21.995,22.04,21.585,73.82K,0.10%
"Feb 13, 2023",21.852,22.03,22.085,21.785,48.51K,-0.32%
"Feb 12, 2023",21.922,22.038,22.045,21.922,0,-0.69%
"Feb 10, 2023",22.075,22.015,22.31,21.83,68.26K,-0.31%
"Feb 09, 2023",22.143,22.365,22.615,21.915,67.99K,-1.24%
"Feb 08, 2023",22.42,22.21,22.56,22.205,56.97K,1.10%
"Feb 07, 2023",22.177,22.305,22.485,22.065,72.08K,-0.27%
"Feb 06, 2023",22.237,22.385,22.635,22.17,66.94K,-0.32%
"Feb 05, 2023",22.308,22.398,22.435,22.277,0,-0.43%
"Feb 03, 2023",22.405,23.515,23.665,22.325,111.87K,-5.12%
"Feb 02, 2023",23.615,24.065,24.75,23.495,110.84K,0.03%
"Feb 01, 2023",23.609,23.84,24.15,23.44,65.33K,-0.95%
"Jan 31, 2023",23.836,23.695,23.865,23.05,66.63K,0.43%
"Jan 30, 2023",23.733,23.675,23.92,23.63,56.12K,-0.08%
"Jan 29, 2023",23.753,23.72,23.758,23.69,0,0.93%
"Jan 27, 2023",23.534,23.845,23.85,23.5,0.18K,-1.68%
"Jan 26, 2023",23.937,23.925,24.325,23.63,1.35K,0.38%
"Jan 25, 2023",23.846,23.585,23.985,23.435,0.33K,0.76%
"Jan 24, 2023",23.665,23.505,23.74,23.275,0.58K,0.78%
"Jan 23, 2023",23.481,24.05,24.21,22.79,0.43K,-2.76%
"Jan 22, 2023",24.148,24.06,24.15,24.043,0,1.21%
"Jan 20, 2023",23.86,23.95,24.055,23.87,0.03K,0.29%
"Jan 19, 2023",23.791,23.46,23.94,23.285,0.07K,0.94%
"Jan 18, 2023",23.569,24.01,24.315,23.495,0.09K,-1.71%
"Jan 17, 2023",23.978,24.38,24.53,23.955,0.13K,-1.95%
"Jan 16, 2023",24.455,24.413,24.665,24.087,0,0.16%
"Jan 15, 2023",24.415,24.422,24.445,24.38,0,0.56%
"Jan 13, 2023",24.279,23.88,24.31,23.555,0.12K,1.53%
"Jan 12, 2023",23.914,23.465,24.24,23.465,0.12K,1.84%
"Jan 11, 2023",23.481,23.72,24.19,23.34,57.03K,-0.78%
"Jan 10, 2023",23.665,23.775,23.905,23.55,42.92K,-0.86%
"Jan 09, 2023",23.871,24.025,24.285,23.725,47.84K,-0.58%
"Jan 08, 2023",24.01,23.997,24.025,23.973,0,0.12%
"Jan 06, 2023",23.982,23.385,24.055,23.345,0,2.38%
"Jan 05, 2023",23.424,23.94,24.06,23.26,0,-2.25%
"Jan 04, 2023",23.964,24.175,24.64,23.745,0,-1.12%
"Jan 03, 2023",24.236,24.305,24.775,24.095,69.96K,-0.38%
"Jan 02, 2023",24.328,24.177,24.387,24.165,0,1.20%
